Node 	268 (a: 	2714) 	Degree 	435 (	435) match with a_node 	2714 (deg 	435): 	1 (No. 	1, score 	1/1)
Node 	2146 (a: 	1250) 	Degree 	156 (	156) match with a_node 	1250 (deg 	156): 	0.67966 (No. 	1, score 	0.67966/0.67966)
Node 	2252 (a: 	7664) 	Degree 	108 (	108) match with a_node 	7664 (deg 	108): 	0.545606 (No. 	1, score 	0.545606/0.545606)
Node 	2197 (a: 	8255) 	Degree 	90 (	90) match with a_node 	8255 (deg 	90): 	0.462807 (No. 	1, score 	0.462807/0.462807)
Node 	2270 (a: 	2270) 	Degree 	90 (	90) match with a_node 	2270 (deg 	90): 	0.459016 (No. 	1, score 	0.459016/0.459016)
Node 	2049 (a: 	6578) 	Degree 	79 (	79) match with a_node 	6578 (deg 	79): 	0.456083 (No. 	1, score 	0.456083/0.456083)
Node 	2267 (a: 	222) 	Degree 	80 (	80) match with a_node 	222 (deg 	80): 	0.432245 (No. 	1, score 	0.432245/0.432245)
Node 	2223 (a: 	8526) 	Degree 	91 (	91) match with a_node 	8526 (deg 	91): 	0.431354 (No. 	1, score 	0.431354/0.431354)
Node 	2194 (a: 	2194) 	Degree 	88 (	88) match with a_node 	2194 (deg 	88): 	0.420878 (No. 	1, score 	0.420878/0.420878)
Node 	2037 (a: 	9876) 	Degree 	92 (	92) match with a_node 	9876 (deg 	92): 	0.418442 (No. 	1, score 	0.418442/0.418442)
Node 	2085 (a: 	2815) 	Degree 	83 (	83) match with a_node 	2815 (deg 	83): 	0.410591 (No. 	1, score 	0.410591/0.410591)
Node 	2273 (a: 	6634) 	Degree 	70 (	70) match with a_node 	6634 (deg 	70): 	0.403896 (No. 	1, score 	0.403896/0.403896)
Node 	2275 (a: 	5643) 	Degree 	69 (	69) match with a_node 	5643 (deg 	69): 	0.396147 (No. 	1, score 	0.396147/0.396147)
Node 	2282 (a: 	930) 	Degree 	66 (	66) match with a_node 	930 (deg 	66): 	0.3943 (No. 	1, score 	0.3943/0.3943)
Node 	2147 (a: 	5210) 	Degree 	68 (	68) match with a_node 	5210 (deg 	68): 	0.392728 (No. 	1, score 	0.392728/0.392728)
Node 	2095 (a: 	1691) 	Degree 	81 (	81) match with a_node 	1691 (deg 	81): 	0.390636 (No. 	1, score 	0.390636/0.390636)
Node 	2164 (a: 	448) 	Degree 	78 (	78) match with a_node 	448 (deg 	78): 	0.388938 (No. 	1, score 	0.388938/0.388938)
Node 	2213 (a: 	8170) 	Degree 	71 (	71) match with a_node 	8170 (deg 	71): 	0.38547 (No. 	1, score 	0.38547/0.38547)
Node 	2334 (a: 	9437) 	Degree 	69 (	69) match with a_node 	9437 (deg 	69): 	0.37669 (No. 	1, score 	0.37669/0.37669)
Node 	2129 (a: 	2129) 	Degree 	66 (	66) match with a_node 	2129 (deg 	66): 	0.37091 (No. 	1, score 	0.37091/0.37091)
Node 	2341 (a: 	9711) 	Degree 	64 (	64) match with a_node 	9711 (deg 	64): 	0.365633 (No. 	1, score 	0.365633/0.365633)
Node 	2393 (a: 	2393) 	Degree 	61 (	61) match with a_node 	2393 (deg 	61): 	0.357435 (No. 	1, score 	0.357435/0.357435)
Node 	2214 (a: 	2214) 	Degree 	62 (	62) match with a_node 	2214 (deg 	62): 	0.356278 (No. 	1, score 	0.356278/0.356278)
Node 	2050 (a: 	2050) 	Degree 	66 (	66) match with a_node 	2050 (deg 	66): 	0.34458 (No. 	1, score 	0.34458/0.34458)
Node 	2324 (a: 	6092) 	Degree 	60 (	60) match with a_node 	6092 (deg 	60): 	0.339305 (No. 	1, score 	0.339305/0.339305)
Node 	2278 (a: 	681) 	Degree 	65 (	65) match with a_node 	681 (deg 	65): 	0.334345 (No. 	1, score 	0.334345/0.334345)
Node 	2350 (a: 	3171) 	Degree 	54 (	54) match with a_node 	3171 (deg 	54): 	0.323246 (No. 	1, score 	0.323246/0.323246)
Node 	2308 (a: 	1267) 	Degree 	54 (	54) match with a_node 	1267 (deg 	54): 	0.322357 (No. 	1, score 	0.322357/0.322357)
Node 	2269 (a: 	3854) 	Degree 	57 (	57) match with a_node 	3854 (deg 	57): 	0.321679 (No. 	1, score 	0.321679/0.321679)
Node 	2215 (a: 	7539) 	Degree 	66 (	66) match with a_node 	7539 (deg 	66): 	0.321569 (No. 	1, score 	0.321569/0.321569)
Node 	2280 (a: 	1837) 	Degree 	59 (	59) match with a_node 	1837 (deg 	59): 	0.318873 (No. 	1, score 	0.318873/0.318873)
Node 	2255 (a: 	2729) 	Degree 	57 (	57) match with a_node 	2729 (deg 	57): 	0.318531 (No. 	1, score 	0.318531/0.318531)
Node 	2093 (a: 	1818) 	Degree 	65 (	65) match with a_node 	1818 (deg 	65): 	0.310832 (No. 	1, score 	0.310832/0.310832)
Node 	1152 (a: 	3851) 	Degree 	63 (	63) match with a_node 	3851 (deg 	63): 	0.309464 (No. 	1, score 	0.309464/0.309464)
Node 	2281 (a: 	1038) 	Degree 	55 (	55) match with a_node 	1038 (deg 	55): 	0.308263 (No. 	1, score 	0.308263/0.308263)
Node 	2224 (a: 	9208) 	Degree 	56 (	56) match with a_node 	9208 (deg 	56): 	0.305286 (No. 	1, score 	0.305286/0.305286)
Node 	2248 (a: 	8168) 	Degree 	52 (	52) match with a_node 	8168 (deg 	52): 	0.302748 (No. 	1, score 	0.302748/0.302748)
Node 	2088 (a: 	8622) 	Degree 	52 (	52) match with a_node 	8622 (deg 	52): 	0.299145 (No. 	1, score 	0.299145/0.299145)
Node 	2219 (a: 	4101) 	Degree 	76 (	76) match with a_node 	4101 (deg 	76): 	0.297452 (No. 	1, score 	0.297452/0.297452)
Node 	2268 (a: 	4545) 	Degree 	50 (	50) match with a_node 	4545 (deg 	50): 	0.296908 (No. 	1, score 	0.296908/0.296908)
Node 	2109 (a: 	2461) 	Degree 	66 (	66) match with a_node 	2461 (deg 	66): 	0.289115 (No. 	1, score 	0.289115/0.289115)
Node 	2279 (a: 	6852) 	Degree 	45 (	45) match with a_node 	6852 (deg 	45): 	0.288894 (No. 	1, score 	0.288894/0.288894)
Node 	2386 (a: 	4670) 	Degree 	48 (	48) match with a_node 	4670 (deg 	48): 	0.287353 (No. 	1, score 	0.287353/0.287353)
Node 	2044 (a: 	8607) 	Degree 	50 (	50) match with a_node 	8607 (deg 	50): 	0.285188 (No. 	1, score 	0.285188/0.285188)
Node 	2242 (a: 	4742) 	Degree 	51 (	51) match with a_node 	4742 (deg 	51): 	0.283485 (No. 	1, score 	0.283485/0.283485)
Node 	2353 (a: 	9759) 	Degree 	44 (	44) match with a_node 	9759 (deg 	44): 	0.283348 (No. 	1, score 	0.283348/0.283348)
Node 	2239 (a: 	6708) 	Degree 	51 (	51) match with a_node 	6708 (deg 	51): 	0.28245 (No. 	1, score 	0.28245/0.28245)
Node 	2148 (a: 	5223) 	Degree 	45 (	45) match with a_node 	5223 (deg 	45): 	0.275246 (No. 	1, score 	0.275246/0.275246)
Node 	2237 (a: 	2395) 	Degree 	44 (	44) match with a_node 	2395 (deg 	44): 	0.275094 (No. 	1, score 	0.275094/0.275094)
Node 	2185 (a: 	2185) 	Degree 	48 (	48) match with a_node 	2185 (deg 	48): 	0.26624 (No. 	1, score 	0.26624/0.26624)
Node 	2225 (a: 	2225) 	Degree 	48 (	48) match with a_node 	2225 (deg 	48): 	0.263685 (No. 	1, score 	0.263685/0.263685)
